"calendar_year","location","ethnicity","experiencing_homelessness"
2022,"San Bernardino County CoC","Not Hispanic/Latinx","6479"
2022,"San Bernardino County CoC","Unknown","64"
2022,"Ventura County CoC","Hispanic/Latinx","1388"
2022,"Ventura County CoC","Not Hispanic/Latinx","1513"
2022,"Ventura County CoC","Unknown","34"
2022,"Glendale CoC (Los Angeles County)","Hispanic/Latinx","241"
2022,"Glendale CoC (Los Angeles County)","Not Hispanic/Latinx","503"
2022,"Imperial County CoC","Hispanic/Latinx","1540"
2022,"Imperial County CoC","Not Hispanic/Latinx","251"
2022,"Imperial County CoC","Unknown","70"
2022,"San Luis Obispo County CoC","Hispanic/Latinx","941"
2022,"San Luis Obispo County CoC","Not Hispanic/Latinx","1734"
2022,"San Luis Obispo County CoC","Unknown","128"
2023,"California","Hispanic/Latinx","93777"
2023,"California","Not Hispanic/Latinx","152585"
2023,"California","Unknown","8552"
2023,"Santa Clara County CoC","Hispanic/Latinx","8227"
2023,"Santa Clara County CoC","Not Hispanic/Latinx","6512"
2023,"Santa Clara County CoC","Unknown","165"
2023,"San Francisco CoC","Hispanic/Latinx","4156"
2023,"San Francisco CoC","Not Hispanic/Latinx","9085"
2023,"San Francisco CoC","Unknown","283"
2023,"Alameda County CoC","Hispanic/Latinx","2026"
2023,"Alameda County CoC","Not Hispanic/Latinx","7603"
2023,"Alameda County CoC","Unknown","141"
2023,"Sacramento County CoC","Hispanic/Latinx","1774"
2023,"Sacramento County CoC","Not Hispanic/Latinx","6920"
2023,"Sacramento County CoC","Unknown","350"
2023,"Sonoma County CoC","Hispanic/Latinx","878"
2023,"Sonoma County CoC","Not Hispanic/Latinx","1878"
2023,"Sonoma County CoC","Unknown","22"
2023,"Contra Costa County CoC","Hispanic/Latinx","2072"
2023,"Contra Costa County CoC","Not Hispanic/Latinx","7369"
2023,"Contra Costa County CoC","Unknown","139"
2023,"Monterey, San Benito Counties CoC","Hispanic/Latinx","1253"
2023,"Monterey, San Benito Counties CoC","Not Hispanic/Latinx","678"
2023,"Monterey, San Benito Counties CoC","Unknown","11"
2023,"Marin County CoC","Hispanic/Latinx","329"
2023,"Marin County CoC","Not Hispanic/Latinx","894"
2023,"Marin County CoC","Unknown","31"
2023,"Santa Cruz County CoC","Hispanic/Latinx","698"
2023,"Santa Cruz County CoC","Not Hispanic/Latinx","691"
2023,"Santa Cruz County CoC","Unknown","46"
2023,"Mendocino County CoC","Hispanic/Latinx","222"
2023,"Mendocino County CoC","Not Hispanic/Latinx","938"
2023,"Mendocino County CoC","Unknown","17"
2023,"Stanislaus County CoC","Hispanic/Latinx","1760"
2023,"Stanislaus County CoC","Not Hispanic/Latinx","2631"
2023,"San Joaquin County CoC","Hispanic/Latinx","2220"
2023,"San Joaquin County CoC","Not Hispanic/Latinx","3846"
2023,"San Joaquin County CoC","Unknown","69"
2023,"San Mateo County CoC","Hispanic/Latinx","1842"
2023,"San Mateo County CoC","Not Hispanic/Latinx","2811"
2023,"San Mateo County CoC","Unknown","89"
2023,"Kings, Tulare Counties CoC","Hispanic/Latinx","1736"
2023,"Kings, Tulare Counties CoC","Not Hispanic/Latinx","1451"
2023,"Kings, Tulare Counties CoC","Unknown","11"
2023,"Fresno, Madera Counties CoC","Hispanic/Latinx","3729"
2023,"Fresno, Madera Counties CoC","Not Hispanic/Latinx","3780"
2023,"Fresno, Madera Counties CoC","Unknown","170"
2023,"Placer County CoC","Hispanic/Latinx","344"
2023,"Placer County CoC","Not Hispanic/Latinx","1529"
2023,"Placer County CoC","Unknown","37"
2023,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","Hispanic/Latinx","190"
2023,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","Not Hispanic/Latinx","1449"
2023,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","Unknown","78"
2023,"Napa County CoC","Hispanic/Latinx","298"
2023,"Napa County CoC","Not Hispanic/Latinx","433"
2023,"Napa County CoC","Unknown","38"
2023,"Solano County CoC","Hispanic/Latinx","159"
2023,"Solano County CoC","Not Hispanic/Latinx","773"
2023,"Butte County CoC","Hispanic/Latinx","480"
2023,"Butte County CoC","Not Hispanic/Latinx","2478"
2023,"Butte County CoC","Unknown","279"
2023,"Merced County CoC","Hispanic/Latinx","1655"
2023,"Merced County CoC","Not Hispanic/Latinx","1393"
2023,"Merced County CoC","Unknown","33"
2023,"Yolo County CoC","Hispanic/Latinx","358"
2023,"Yolo County CoC","Not Hispanic/Latinx","601"
2023,"Yolo County CoC","Unknown","104"
2023,"Humboldt County CoC","Hispanic/Latinx","201"
2023,"Humboldt County CoC","Not Hispanic/Latinx","1576"
2023,"Humboldt County CoC","Unknown","226"
2023,"Colusa, Glenn, Trinity Counties CoC","Hispanic/Latinx","108"
2023,"Colusa, Glenn, Trinity Counties CoC","Not Hispanic/Latinx","273"
2023,"Yuba, Sutter Counties CoC","Hispanic/Latinx","526"
2023,"Yuba, Sutter Counties CoC","Not Hispanic/Latinx","1690"
2023,"El Dorado County CoC","Hispanic/Latinx","69"
2023,"El Dorado County CoC","Not Hispanic/Latinx","343"
2023,"El Dorado County CoC","Unknown","31"
2023,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC","Hispanic/Latinx","113"
2023,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC","Not Hispanic/Latinx","410"
2023,"Tehama County CoC","Hispanic/Latinx","68"
2023,"Tehama County CoC","Not Hispanic/Latinx","380"
2023,"Tehama County CoC","Unknown","62"
2023,"Lake County CoC","Hispanic/Latinx","56"
2023,"Lake County CoC","Not Hispanic/Latinx","264"
2023,"Lake County CoC","Unknown","18"
2023,"Alpine, Inyo, Mono Counties CoC","Hispanic/Latinx","31"
2023,"Alpine, Inyo, Mono Counties CoC","Not Hispanic/Latinx","72"
2023,"Nevada County CoC","Hispanic/Latinx","102"
2023,"Nevada County CoC","Not Hispanic/Latinx","759"
2023,"Nevada County CoC","Unknown","73"
2023,"Los Angeles County CoC","Hispanic/Latinx","28486"
2023,"Los Angeles County CoC","Not Hispanic/Latinx","43479"
2023,"Los Angeles County CoC","Unknown","2982"
2023,"San Diego County CoC","Hispanic/Latinx","6848"
2023,"San Diego County CoC","Not Hispanic/Latinx","11847"
2023,"San Diego County CoC","Unknown","415"
2023,"Orange County CoC","Hispanic/Latinx","7124"
2023,"Orange County CoC","Not Hispanic/Latinx","7572"
2023,"Orange County CoC","Unknown","1868"
2023,"Santa Barbara County CoC","Hispanic/Latinx","1433"
2023,"Santa Barbara County CoC","Not Hispanic/Latinx","1390"
2023,"Santa Barbara County CoC","Unknown","86"
2023,"Kern County CoC","Hispanic/Latinx","2647"
2023,"Kern County CoC","Not Hispanic/Latinx","3702"
2023,"Kern County CoC","Unknown","16"
2023,"Long Beach CoC (Los Angeles County)","Hispanic/Latinx","1180"
2023,"Long Beach CoC (Los Angeles County)","Not Hispanic/Latinx","3072"
2023,"Long Beach CoC (Los Angeles County)","Unknown","125"
2023,"Pasadena CoC (Los Angeles County)","Hispanic/Latinx","396"
2023,"Pasadena CoC (Los Angeles County)","Not Hispanic/Latinx","641"
2023,"Pasadena CoC (Los Angeles County)","Unknown","58"
2023,"Riverside County CoC","Hispanic/Latinx","3270"
2023,"Riverside County CoC","Not Hispanic/Latinx","4738"
2023,"Riverside County CoC","Unknown","218"
2023,"San Bernardino County CoC","Hispanic/Latinx","2891"
2023,"San Bernardino County CoC","Not Hispanic/Latinx","4977"
2023,"San Bernardino County CoC","Unknown","64"
2023,"Ventura County CoC","Hispanic/Latinx","1003"
2023,"Ventura County CoC","Not Hispanic/Latinx","1255"
2023,"Ventura County CoC","Unknown","29"
2023,"Glendale CoC (Los Angeles County)","Hispanic/Latinx","206"
2023,"Glendale CoC (Los Angeles County)","Not Hispanic/Latinx","362"
2023,"Imperial County CoC","Hispanic/Latinx","1109"
2023,"Imperial County CoC","Not Hispanic/Latinx","182"
2023,"Imperial County CoC","Unknown","39"
2023,"San Luis Obispo County CoC","Hispanic/Latinx","881"
2023,"San Luis Obispo County CoC","Not Hispanic/Latinx","1499"
2023,"San Luis Obispo County CoC","Unknown","115"
