"calendar_year","location","age_group_public","experiencing_homelessness"
2023,"Napa County CoC","Unknown","11"
2023,"Solano County CoC","18-24","61"
2023,"Solano County CoC","25-34","170"
2023,"Solano County CoC","35-44","167"
2023,"Solano County CoC","45-54","152"
2023,"Solano County CoC","55-64","206"
2023,"Solano County CoC","65+","76"
2023,"Solano County CoC","Under 18","103"
2023,"Butte County CoC","18-24","210"
2023,"Butte County CoC","25-34","526"
2023,"Butte County CoC","35-44","634"
2023,"Butte County CoC","45-54","478"
2023,"Butte County CoC","55-64","454"
2023,"Butte County CoC","65+","221"
2023,"Butte County CoC","Under 18","665"
2023,"Butte County CoC","Unknown","100"
2023,"Merced County CoC","18-24","229"
2023,"Merced County CoC","25-34","500"
2023,"Merced County CoC","35-44","518"
2023,"Merced County CoC","45-54","307"
2023,"Merced County CoC","55-64","248"
2023,"Merced County CoC","65+","104"
2023,"Merced County CoC","Under 18","1148"
2023,"Merced County CoC","Unknown","66"
2023,"Yolo County CoC","18-24","57"
2023,"Yolo County CoC","25-34","137"
2023,"Yolo County CoC","35-44","179"
2023,"Yolo County CoC","45-54","115"
2023,"Yolo County CoC","55-64","123"
2023,"Yolo County CoC","65+","58"
2023,"Yolo County CoC","Under 18","387"
2023,"Yolo County CoC","Unknown","16"
2023,"Humboldt County CoC","18-24","162"
2023,"Humboldt County CoC","25-34","302"
2023,"Humboldt County CoC","35-44","457"
2023,"Humboldt County CoC","45-54","391"
2023,"Humboldt County CoC","55-64","336"
2023,"Humboldt County CoC","65+","137"
2023,"Humboldt County CoC","Under 18","225"
2023,"Humboldt County CoC","Unknown","47"
2023,"Colusa, Glenn, Trinity Counties CoC","18-24","32"
2023,"Colusa, Glenn, Trinity Counties CoC","25-34","61"
2023,"Colusa, Glenn, Trinity Counties CoC","35-44","58"
2023,"Colusa, Glenn, Trinity Counties CoC","45-54","41"
2023,"Colusa, Glenn, Trinity Counties CoC","55-64","45"
2023,"Colusa, Glenn, Trinity Counties CoC","65+","17"
2023,"Colusa, Glenn, Trinity Counties CoC","Under 18","129"
2023,"Colusa, Glenn, Trinity Counties CoC","Unknown","16"
2023,"Yuba, Sutter Counties CoC","18-24","142"
2023,"Yuba, Sutter Counties CoC","25-34","331"
2023,"Yuba, Sutter Counties CoC","35-44","378"
2023,"Yuba, Sutter Counties CoC","45-54","258"
2023,"Yuba, Sutter Counties CoC","55-64","268"
2023,"Yuba, Sutter Counties CoC","65+","116"
2023,"Yuba, Sutter Counties CoC","Under 18","726"
2023,"Yuba, Sutter Counties CoC","Unknown","33"
2023,"El Dorado County CoC","18-24","35"
2023,"El Dorado County CoC","25-34","49"
2023,"El Dorado County CoC","35-44","65"
2023,"El Dorado County CoC","45-54","61"
2023,"El Dorado County CoC","55-64","64"
2023,"El Dorado County CoC","65+","37"
2023,"El Dorado County CoC","Under 18","129"
2023,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC","18-24","43"
2023,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC","25-34","77"
2023,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC","35-44","92"
2023,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC","45-54","67"
2023,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC","55-64","50"
2023,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC","65+","38"
2023,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC","Under 18","149"
2023,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC","Unknown","11"
2023,"Tehama County CoC","18-24","23"
2023,"Tehama County CoC","25-34","63"
2023,"Tehama County CoC","35-44","75"
2023,"Tehama County CoC","45-54","70"
2023,"Tehama County CoC","55-64","50"
2023,"Tehama County CoC","65+","26"
2023,"Tehama County CoC","Under 18","141"
2023,"Tehama County CoC","Unknown","63"
2023,"Lake County CoC","18-24","18"
2023,"Lake County CoC","25-34","55"
2023,"Lake County CoC","35-44","57"
2023,"Lake County CoC","45-54","42"
2023,"Lake County CoC","55-64","56"
2023,"Lake County CoC","65+","25"
2023,"Lake County CoC","Under 18","62"
2023,"Lake County CoC","Unknown","24"
2023,"Alpine, Inyo, Mono Counties CoC","35-44","15"
2023,"Alpine, Inyo, Mono Counties CoC","Under 18","58"
2023,"Nevada County CoC","18-24","78"
2023,"Nevada County CoC","25-34","180"
2023,"Nevada County CoC","35-44","178"
2023,"Nevada County CoC","45-54","129"
2023,"Nevada County CoC","55-64","157"
2023,"Nevada County CoC","65+","82"
2023,"Nevada County CoC","Under 18","119"
2023,"Nevada County CoC","Unknown","24"
2023,"Los Angeles County CoC","18-24","6211"
2023,"Los Angeles County CoC","25-34","14423"
2023,"Los Angeles County CoC","35-44","14406"
2023,"Los Angeles County CoC","45-54","11641"
2023,"Los Angeles County CoC","55-64","10279"
2023,"Los Angeles County CoC","65+","4048"
2023,"Los Angeles County CoC","Under 18","12688"
2023,"Los Angeles County CoC","Unknown","2352"
2023,"San Diego County CoC","18-24","1475"
2023,"San Diego County CoC","25-34","2963"
2023,"San Diego County CoC","35-44","3107"
2023,"San Diego County CoC","45-54","2875"
2023,"San Diego County CoC","55-64","2856"
2023,"San Diego County CoC","65+","1259"
2023,"San Diego County CoC","Under 18","4479"
2023,"San Diego County CoC","Unknown","318"
2023,"Orange County CoC","18-24","980"
2023,"Orange County CoC","25-34","2477"
2023,"Orange County CoC","35-44","2531"
2023,"Orange County CoC","45-54","2254"
2023,"Orange County CoC","55-64","2137"
2023,"Orange County CoC","65+","855"
2023,"Orange County CoC","Under 18","3775"
2023,"Orange County CoC","Unknown","1767"
2023,"Santa Barbara County CoC","18-24","198"
2023,"Santa Barbara County CoC","25-34","454"
2023,"Santa Barbara County CoC","35-44","543"
2023,"Santa Barbara County CoC","45-54","459"
2023,"Santa Barbara County CoC","55-64","514"
2023,"Santa Barbara County CoC","65+","256"
2023,"Santa Barbara County CoC","Under 18","445"
2023,"Santa Barbara County CoC","Unknown","91"
2023,"Kern County CoC","18-24","537"
2023,"Kern County CoC","25-34","1047"
2023,"Kern County CoC","35-44","1130"
2023,"Kern County CoC","45-54","862"
2023,"Kern County CoC","55-64","691"
2023,"Kern County CoC","65+","230"
2023,"Kern County CoC","Under 18","1819"
2023,"Kern County CoC","Unknown","126"
2023,"Long Beach CoC (Los Angeles County)","18-24","211"
2023,"Long Beach CoC (Los Angeles County)","25-34","715"
2023,"Long Beach CoC (Los Angeles County)","35-44","846"
2023,"Long Beach CoC (Los Angeles County)","45-54","749"
2023,"Long Beach CoC (Los Angeles County)","55-64","862"
2023,"Long Beach CoC (Los Angeles County)","65+","410"
2023,"Long Beach CoC (Los Angeles County)","Under 18","551"
2023,"Long Beach CoC (Los Angeles County)","Unknown","49"
2023,"Pasadena CoC (Los Angeles County)","18-24","76"
2023,"Pasadena CoC (Los Angeles County)","25-34","178"
2023,"Pasadena CoC (Los Angeles County)","35-44","170"
2023,"Pasadena CoC (Los Angeles County)","45-54","187"
2023,"Pasadena CoC (Los Angeles County)","55-64","183"
2023,"Pasadena CoC (Los Angeles County)","65+","78"
2023,"Pasadena CoC (Los Angeles County)","Under 18","182"
2023,"Pasadena CoC (Los Angeles County)","Unknown","56"
2023,"Riverside County CoC","18-24","523"
2023,"Riverside County CoC","25-34","1452"
2023,"Riverside County CoC","35-44","1534"
2023,"Riverside County CoC","45-54","1213"
2023,"Riverside County CoC","55-64","1123"
2023,"Riverside County CoC","65+","415"
2023,"Riverside County CoC","Under 18","1822"
2023,"Riverside County CoC","Unknown","186"
2023,"San Bernardino County CoC","18-24","696"
2023,"San Bernardino County CoC","25-34","1218"
2023,"San Bernardino County CoC","35-44","1191"
2023,"San Bernardino County CoC","45-54","894"
2023,"San Bernardino County CoC","55-64","907"
2023,"San Bernardino County CoC","65+","364"
2023,"San Bernardino County CoC","Under 18","2622"
2023,"San Bernardino County CoC","Unknown","120"
2023,"Ventura County CoC","18-24","108"
2023,"Ventura County CoC","25-34","313"
2023,"Ventura County CoC","35-44","386"
2023,"Ventura County CoC","45-54","474"
2023,"Ventura County CoC","55-64","546"
2023,"Ventura County CoC","65+","287"
2023,"Ventura County CoC","Under 18","198"
2023,"Ventura County CoC","Unknown","13"
2023,"Glendale CoC (Los Angeles County)","18-24","34"
2023,"Glendale CoC (Los Angeles County)","25-34","75"
2023,"Glendale CoC (Los Angeles County)","35-44","85"
2023,"Glendale CoC (Los Angeles County)","45-54","82"
2023,"Glendale CoC (Los Angeles County)","55-64","118"
2023,"Glendale CoC (Los Angeles County)","65+","72"
2023,"Glendale CoC (Los Angeles County)","Under 18","106"
2023,"Imperial County CoC","18-24","84"
2023,"Imperial County CoC","25-34","174"
2023,"Imperial County CoC","35-44","121"
2023,"Imperial County CoC","45-54","69"
2023,"Imperial County CoC","55-64","54"
2023,"Imperial County CoC","65+","32"
2023,"Imperial County CoC","Under 18","772"
2023,"Imperial County CoC","Unknown","31"
2023,"San Luis Obispo County CoC","18-24","148"
2023,"San Luis Obispo County CoC","25-34","431"
2023,"San Luis Obispo County CoC","35-44","433"
2023,"San Luis Obispo County CoC","45-54","366"
2023,"San Luis Obispo County CoC","55-64","317"
2023,"San Luis Obispo County CoC","65+","156"
2023,"San Luis Obispo County CoC","Under 18","614"
2023,"San Luis Obispo County CoC","Unknown","63"
